                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1479,                 7.6544,                 2.4113,                      0,                      0,                      0,                      0,                 2.1209,                 5.9118,                 2.5456,                3.6e-05,                3.6e-05,                3.6e-05
                      1,                 1.8381,                 5.7496,                 1.9953,                      0,                      0,                      0,                      0,                 1.6552,                 5.4113,                 2.0112,              7.585e-05,              7.585e-05,              7.585e-05
                      2,                 1.5652,                 5.1411,                 1.7825,                      0,                      0,                      0,                      0,                 1.3939,                 5.0106,                  1.576,             0.00011554,             0.00011554,             0.00011554
                      3,                  1.426,                 5.0465,                 1.6196,                0.10497,                0.58175,                 0.2869,                 0.1898,                 1.2099,                 4.6905,                 1.3877,             0.00015507,             0.00015507,             0.00015507
                      4,                 1.4548,                  4.257,                  1.638,                0.06688,                      1,                0.35032,                0.20946,                 1.2155,                 4.1433,                 1.3461,             0.00019445,             0.00019445,             0.00019445
                      5,                 1.3051,                 3.5804,                 1.5183,                0.07522,                      1,                0.43819,                   0.29,                 1.1147,                 3.9973,                 1.2112,             0.00023366,             0.00023366,             0.00023366
                      6,                 1.2559,                 3.6589,                 1.4239,                0.09051,                0.98611,                 0.5249,                0.31066,                 1.2209,                  3.907,                 1.2763,             0.00027272,             0.00027272,             0.00027272
                      7,                 1.2606,                 3.5015,                 1.4338,                0.11675,                0.93194,                0.48139,                0.30609,                 1.2304,                 3.8855,                  1.316,             0.00031162,             0.00031162,             0.00031162
                      8,                 1.2397,                 3.1776,                 1.4038,                0.13084,                0.92917,                0.43623,                0.23141,                 1.4336,                 4.1244,                 1.6113,             0.00035036,             0.00035036,             0.00035036
                      9,                 1.2314,                 2.9769,                 1.4198,                0.71145,                0.51218,                0.65344,                0.42123,                 1.2548,                 2.9864,                 1.4117,             0.00038894,             0.00038894,             0.00038894
                     10,                  1.231,                 2.8541,                 1.3758,                0.71945,                0.40694,                0.72463,                0.49035,                 1.1682,                  2.944,                 1.3328,             0.00039208,             0.00039208,             0.00039208
                     11,                 1.1199,                 2.8156,                 1.3262,                0.67057,                0.75812,                0.87421,                0.59935,                 1.0787,                 2.5198,                 1.2999,             0.00039208,             0.00039208,             0.00039208
                     12,                  1.135,                 2.8419,                 1.3184,                 0.7785,                 0.7901,                0.88941,                0.64972,                0.98619,                 1.9633,                 1.2425,             0.00039129,             0.00039129,             0.00039129
                     13,                 1.2221,                 2.6593,                 1.3893,                0.85481,                0.58648,                 0.8185,                0.54821,                 1.0599,                 2.3257,                 1.2879,              0.0003905,              0.0003905,              0.0003905
                     14,                  1.143,                  2.653,                 1.3404,                0.86917,                0.59663,                0.82958,                0.56953,                  1.056,                 2.5314,                 1.2913,              0.0003897,              0.0003897,              0.0003897
                     15,                 1.1547,                 2.4186,                 1.3174,                0.96082,                0.65309,                0.95246,                0.67428,                 1.0608,                 2.5787,                  1.305,             0.00038891,             0.00038891,             0.00038891
                     16,                 1.0811,                 2.2879,                  1.287,                0.89411,                0.88019,                0.97649,                0.71605,                0.99987,                 2.1587,                  1.259,             0.00038812,             0.00038812,             0.00038812
                     17,                 1.1465,                 2.2581,                 1.3052,                0.76934,                0.82386,                0.93989,                0.60749,                  1.227,                 2.0837,                 1.4239,             0.00038733,             0.00038733,             0.00038733
                     18,                 1.0735,                 2.3051,                 1.3068,                0.84639,                0.87347,                0.97623,                0.72445,                0.98354,                 1.7924,                 1.2277,             0.00038654,             0.00038654,             0.00038654
                     19,                 1.1704,                 2.4106,                 1.2959,                0.78808,                0.80631,                0.92643,                0.66991,                 1.0043,                 2.0579,                 1.2149,             0.00038574,             0.00038574,             0.00038574
                     20,                 1.1812,                 2.5376,                 1.3561,                0.80244,                0.73783,                0.87337,                0.57327,                 1.2467,                 2.0539,                 1.3783,             0.00038495,             0.00038495,             0.00038495
                     21,                 1.1031,                 2.3006,                 1.2908,                0.88215,                0.79493,                0.91004,                0.66195,                 1.0357,                 1.5479,                 1.2567,             0.00038416,             0.00038416,             0.00038416
                     22,                 1.1384,                 3.1223,                 1.3351,                0.89645,                0.88333,                  0.971,                0.75625,                0.87698,                 1.6338,                 1.1269,             0.00038337,             0.00038337,             0.00038337
                     23,                 1.1063,                 2.0797,                 1.2505,                0.92222,                 0.9356,                0.98455,                0.72282,                 1.0016,                 1.8301,                 1.2231,             0.00038258,             0.00038258,             0.00038258
                     24,                 1.1006,                 2.1048,                 1.2588,                0.89425,                0.93779,                0.99207,                0.74637,                0.94629,                 1.3993,                  1.188,             0.00038178,             0.00038178,             0.00038178
                     25,                 1.0271,                 2.0784,                 1.2468,                0.94681,                0.99907,                0.99355,                0.73245,                0.96645,                 1.1881,                 1.1884,             0.00038099,             0.00038099,             0.00038099
                     26,                0.93384,                 1.9953,                 1.1745,                0.97693,                0.99676,                0.99434,                0.79335,                0.81805,                  1.027,                 1.1112,              0.0003802,              0.0003802,              0.0003802
                     27,                 1.0963,                 2.1335,                    1.3,                 0.9538,                 0.9532,                0.98923,                  0.766,                0.86637,                 1.0499,                 1.1605,             0.00037941,             0.00037941,             0.00037941
                     28,                0.96966,                 1.9383,                 1.2155,                0.97132,                0.96667,                0.98923,                0.77209,                0.85982,                0.97275,                 1.1619,             0.00037862,             0.00037862,             0.00037862
                     29,                 1.0149,                 1.9219,                  1.256,                0.95276,                0.99117,                  0.995,                0.78293,                0.84891,                0.98584,                 1.1622,             0.00037782,             0.00037782,             0.00037782
                     30,                 0.9336,                 1.9219,                 1.1771,                0.99523,                0.94167,                  0.995,                0.76063,                0.90468,                 1.0656,                 1.1766,             0.00037703,             0.00037703,             0.00037703
                     31,                0.97049,                 2.0398,                 1.2282,                0.99114,                      1,                  0.995,                0.75216,                0.91911,                0.89862,                 1.1709,             0.00037624,             0.00037624,             0.00037624
                     32,                 1.0887,                 1.9177,                 1.3003,                0.97472,                      1,                  0.995,                0.78281,                0.86967,                0.84897,                  1.137,             0.00037545,             0.00037545,             0.00037545
                     33,                0.91085,                 1.7707,                 1.2084,                0.98372,                      1,                  0.995,                0.79703,                 0.8316,                 0.7644,                 1.1105,             0.00037466,             0.00037466,             0.00037466
                     34,                0.93392,                 1.6244,                 1.1569,                0.96023,                      1,                  0.995,                0.80023,                0.80891,                0.77743,                 1.0955,             0.00037386,             0.00037386,             0.00037386
                     35,                0.96547,                 1.9084,                 1.2383,                0.94493,                0.97796,                  0.995,                0.80976,                0.77928,                0.85035,                 1.0771,             0.00037307,             0.00037307,             0.00037307
                     36,                0.93992,                 1.7576,                  1.187,                0.97359,                      1,                  0.995,                0.81551,                0.75198,                0.73503,                 1.0568,             0.00037228,             0.00037228,             0.00037228
                     37,                0.91468,                 1.6266,                 1.1941,                0.97771,                0.99702,                  0.995,                0.81924,                0.75307,                0.70803,                 1.0629,             0.00037149,             0.00037149,             0.00037149
                     38,                 1.0196,                 1.9747,                 1.2282,                 0.9671,                0.99636,                  0.995,                0.81608,                 0.7549,                 0.7929,                 1.0667,              0.0003707,              0.0003707,              0.0003707
                     39,                 0.9127,                 1.8184,                 1.1564,                0.98263,                0.99726,                  0.995,                 0.8056,                0.78022,                0.70479,                 1.0679,              0.0003699,              0.0003699,              0.0003699
                     40,                0.99032,                 1.7241,                 1.2229,                0.98332,                0.99812,                  0.995,                0.81921,                0.70896,                0.62484,                 1.0252,             0.00036911,             0.00036911,             0.00036911
                     41,                0.94124,                 1.7418,                 1.1903,                0.98195,                0.99922,                  0.995,                0.84434,                0.67291,                0.65057,                 1.0022,             0.00036832,             0.00036832,             0.00036832
                     42,                0.90226,                 1.6434,                 1.1679,                0.99133,                0.99638,                  0.995,                0.83493,                0.70324,                0.63601,                 1.0227,             0.00036753,             0.00036753,             0.00036753
                     43,                0.82331,                 1.5587,                 1.1227,                0.98413,                0.99838,                  0.995,                0.83542,                0.70929,                0.59761,                 1.0235,             0.00036674,             0.00036674,             0.00036674
                     44,                0.80927,                 1.4648,                 1.0959,                0.99191,                0.99315,                  0.995,                0.83234,                0.73437,                0.58938,                 1.0293,             0.00036594,             0.00036594,             0.00036594
                     45,                0.83911,                 1.4366,                 1.1165,                0.95557,                0.98687,                  0.995,                0.82927,                0.71753,                0.62518,                 1.0396,             0.00036515,             0.00036515,             0.00036515
                     46,                0.79634,                 1.5956,                 1.1005,                0.98242,                0.98987,                  0.995,                0.82329,                 0.7328,                0.60365,                 1.0698,             0.00036436,             0.00036436,             0.00036436
                     47,                0.91911,                 1.5692,                   1.22,                0.98322,                 0.9873,                  0.995,                0.82461,                0.71251,                0.65599,                 1.0455,             0.00036357,             0.00036357,             0.00036357
                     48,                0.88387,                 1.4966,                  1.135,                0.97805,                0.99593,                  0.995,                0.85357,                0.64628,                0.58694,                0.99773,             0.00036278,             0.00036278,             0.00036278
                     49,                0.96431,                 1.5154,                 1.2043,                0.99305,                      1,                  0.995,                0.84803,                 0.6482,                0.54335,                 1.0039,             0.00036198,             0.00036198,             0.00036198
                     50,                0.90719,                 1.5235,                 1.1555,                 0.9928,                      1,                  0.995,                0.82187,                0.69446,                0.56603,                 1.0426,             0.00036119,             0.00036119,             0.00036119
                     51,                0.87582,                 1.4409,                 1.1499,                0.98258,                      1,                  0.995,                0.83064,                 0.7033,                 0.5581,                 1.0414,              0.0003604,              0.0003604,              0.0003604
                     52,                0.82567,                 1.4204,                 1.1242,                0.98231,                      1,                  0.995,                0.83812,                0.68943,                0.54111,                 1.0181,             0.00035961,             0.00035961,             0.00035961
                     53,                0.81553,                 1.3221,                 1.0952,                0.98665,                      1,                  0.995,                0.82765,                0.70776,                0.56478,                  1.008,             0.00035882,             0.00035882,             0.00035882
                     54,                0.89939,                 1.3311,                 1.1479,                0.96807,                0.99967,                  0.995,                0.82652,                0.73959,                0.54486,                 1.0345,             0.00035802,             0.00035802,             0.00035802
                     55,                0.79153,                 1.3137,                 1.0958,                0.99327,                0.99477,                  0.995,                 0.8374,                0.66999,                0.50264,                 1.0009,             0.00035723,             0.00035723,             0.00035723
                     56,                0.77639,                 1.2719,                  1.065,                0.99512,                0.98745,                  0.995,                0.84805,                0.64486,                0.50256,                0.98761,             0.00035644,             0.00035644,             0.00035644
                     57,                0.83258,                 1.3074,                 1.1209,                0.99378,                      1,                  0.995,                0.84516,                 0.6306,                0.49317,                0.97996,             0.00035565,             0.00035565,             0.00035565
                     58,                0.81125,                 1.2815,                 1.1201,                0.98162,                      1,                  0.995,                0.84575,                0.64573,                0.48417,                0.98352,             0.00035486,             0.00035486,             0.00035486
                     59,                0.89169,                 1.4444,                 1.1828,                0.98477,                0.97147,                  0.995,                0.84452,                0.66041,                 0.4915,                0.98631,             0.00035406,             0.00035406,             0.00035406
                     60,                0.78983,                 1.2027,                 1.1056,                0.98588,                0.99492,                  0.995,                0.84945,                0.64404,                0.47191,                0.97233,             0.00035327,             0.00035327,             0.00035327
                     61,                0.75632,                 1.1638,                 1.0936,                0.99069,                      1,                  0.995,                0.83337,                0.69306,                0.47715,                  1.001,             0.00035248,             0.00035248,             0.00035248
                     62,                0.79937,                 1.2815,                 1.1187,                0.99141,                      1,                  0.995,                0.85962,                0.62639,                0.47095,                0.97161,             0.00035169,             0.00035169,             0.00035169
                     63,                0.83169,                 1.2188,                 1.0985,                0.97768,                      1,                  0.995,                0.86183,                0.59305,                0.49955,                0.95733,              0.0003509,              0.0003509,              0.0003509
                     64,                0.79867,                 1.2147,                 1.0924,                0.98221,                      1,                  0.995,                0.86756,                0.58981,                0.48219,                0.95748,              0.0003501,              0.0003501,              0.0003501
                     65,                0.79311,                 1.2046,                 1.0922,                0.97984,                      1,                  0.995,                0.86946,                0.58473,                0.46417,                0.95632,             0.00034931,             0.00034931,             0.00034931
                     66,                0.77706,                 1.1494,                 1.0771,                0.97678,                      1,                  0.995,                0.87506,                0.57384,                0.45964,                0.96106,             0.00034852,             0.00034852,             0.00034852
                     67,                0.73134,                 1.1406,                 1.0415,                0.99143,                      1,                  0.995,                0.86303,                0.60646,                0.48162,                0.97293,             0.00034773,             0.00034773,             0.00034773
                     68,                0.88619,                 1.2181,                 1.1612,                0.98586,                      1,                  0.995,                0.85645,                 0.6229,                0.51607,                0.97373,             0.00034694,             0.00034694,             0.00034694
                     69,                0.81668,                  1.091,                 1.0929,                0.99513,                      1,                  0.995,                0.85694,                0.62167,                0.49342,                0.97367,             0.00034614,             0.00034614,             0.00034614
                     70,                0.78307,                 1.0726,                 1.0836,                0.99603,                      1,                  0.995,                0.84948,                0.60894,                0.50748,                0.96952,             0.00034535,             0.00034535,             0.00034535
                     71,                0.74582,                  1.071,                 1.0699,                0.99201,                      1,                  0.995,                0.83337,                0.64744,                 0.5013,                  1.001,             0.00034456,             0.00034456,             0.00034456
                     72,                0.86296,                 1.2294,                 1.1868,                0.99394,                      1,                  0.995,                0.85077,                0.63596,                 0.4711,                0.98835,             0.00034377,             0.00034377,             0.00034377
                     73,                0.89157,                 1.2316,                 1.1468,                0.99552,                      1,                  0.995,                0.86578,                0.58848,                0.44042,                0.96888,             0.00034298,             0.00034298,             0.00034298
                     74,                0.73845,                 1.0891,                 1.0766,                0.99378,                      1,                  0.995,                0.87346,                0.58276,                0.43367,                0.97475,             0.00034218,             0.00034218,             0.00034218
                     75,                0.73811,                 1.1311,                 1.0854,                0.98832,                      1,                  0.995,                0.86577,                0.60475,                0.43622,                0.99334,             0.00034139,             0.00034139,             0.00034139
                     76,                0.83084,                 1.0815,                 1.0788,                0.99242,                      1,                  0.995,                0.86799,                0.59092,                 0.4298,                0.97968,              0.0003406,              0.0003406,              0.0003406
                     77,                0.74022,                 1.0042,                 1.0841,                0.99057,                0.99729,                  0.995,                0.85608,                 0.6347,                 0.4513,                 0.9872,             0.00033981,             0.00033981,             0.00033981
                     78,                0.78115,                 1.0485,                 1.1005,                0.99211,                      1,                  0.995,                0.86686,                0.59305,                0.44425,                0.96746,             0.00033902,             0.00033902,             0.00033902
                     79,                0.81394,                 1.0666,                 1.1361,                0.98852,                0.99879,                  0.995,                0.86936,                 0.5859,                0.45491,                 0.9658,             0.00033822,             0.00033822,             0.00033822
                     80,                0.68052,                 1.0383,                 1.0457,                0.99612,                      1,                  0.995,                0.88502,                0.56166,                0.44466,                0.95276,             0.00033743,             0.00033743,             0.00033743
                     81,                0.81445,                 1.0643,                 1.0764,                0.99243,                      1,                  0.995,                0.88849,                0.55558,                0.44856,                0.94995,             0.00033664,             0.00033664,             0.00033664
                     82,                0.83745,                 1.0494,                 1.1096,                0.98774,                0.99944,                  0.995,                0.89483,                0.53573,                0.44791,                0.94378,             0.00033585,             0.00033585,             0.00033585
                     83,                 0.8121,                 1.0604,                 1.1302,                0.99356,                      1,                  0.995,                0.88383,                0.55737,                0.44447,                0.95635,             0.00033506,             0.00033506,             0.00033506
                     84,                 0.7328,                 1.0202,                 1.0483,                0.99398,                      1,                  0.995,                0.87254,                0.57431,                0.43108,                0.96054,             0.00033426,             0.00033426,             0.00033426
                     85,                0.71124,                  1.023,                 1.0522,                0.99384,                      1,                  0.995,                0.88214,                0.52782,                0.40418,                0.93966,             0.00033347,             0.00033347,             0.00033347
                     86,                0.74679,                0.96847,                 1.0589,                0.99532,                      1,                  0.995,                0.86724,                0.55255,                0.41683,                0.94806,             0.00033268,             0.00033268,             0.00033268
                     87,                0.76134,                0.98159,                 1.0724,                0.99558,                      1,                  0.995,                0.86052,                0.60236,                0.41787,                0.96978,             0.00033189,             0.00033189,             0.00033189
                     88,                0.77167,                0.97151,                 1.0924,                 0.9918,                      1,                  0.995,                 0.8816,                0.52751,                0.41092,                0.92938,              0.0003311,              0.0003311,              0.0003311
                     89,                0.80116,                0.99474,                 1.1039,                0.98355,                0.99931,                  0.995,                0.88229,                0.53434,                0.42614,                0.92743,              0.0003303,              0.0003303,              0.0003303
                     90,                0.71917,                 1.0144,                 1.0451,                0.98201,                      1,                  0.995,                0.87456,                 0.5431,                0.44517,                0.93035,             0.00032951,             0.00032951,             0.00032951
                     91,                0.84248,                  1.051,                  1.123,                 0.9958,                      1,                  0.995,                0.87603,                0.54962,                0.41579,                0.92722,             0.00032872,             0.00032872,             0.00032872
                     92,                0.66453,                0.92452,                 1.0293,                0.99626,                      1,                  0.995,                0.86153,                0.59058,                0.39709,                0.94214,             0.00032793,             0.00032793,             0.00032793
                     93,                0.70462,                0.84646,                 1.0471,                0.99683,                      1,                  0.995,                0.87616,                0.54514,                0.38456,                0.93139,             0.00032714,             0.00032714,             0.00032714
                     94,                0.65407,                0.84834,                 1.0266,                0.99519,                      1,                  0.995,                 0.8779,                0.56355,                0.39363,                0.94378,             0.00032634,             0.00032634,             0.00032634
                     95,                0.75381,                0.93203,                 1.0794,                0.99511,                      1,                  0.995,                 0.8982,                0.48962,                0.37906,                0.91387,             0.00032555,             0.00032555,             0.00032555
                     96,                0.76302,                0.94348,                 1.0722,                0.99547,                      1,                  0.995,                0.88759,                0.49423,                0.37689,                0.91163,             0.00032476,             0.00032476,             0.00032476
                     97,                0.71949,                 0.9185,                 1.0161,                0.99143,                      1,                  0.995,                0.87638,                 0.5155,                0.41746,                0.91477,             0.00032397,             0.00032397,             0.00032397
                     98,                 0.7288,                0.90087,                 1.0515,                0.99379,                      1,                  0.995,                0.88287,                0.52233,                0.38924,                0.91725,             0.00032318,             0.00032318,             0.00032318
                     99,                0.76644,                0.98059,                 1.0959,                0.99415,                      1,                  0.995,                0.88502,                0.51685,                0.36712,                0.92007,             0.00032238,             0.00032238,             0.00032238
                    100,                0.74223,                0.83592,                 1.0804,                0.99116,                      1,                  0.995,                0.90389,                0.48529,                0.37794,                0.90426,             0.00032159,             0.00032159,             0.00032159
                    101,                0.65255,                0.85367,                 1.0244,                0.99302,                      1,                  0.995,                0.89382,                0.52759,                0.39303,                0.91735,              0.0003208,              0.0003208,              0.0003208
                    102,                0.74665,                 1.0322,                 1.0654,                0.99392,                      1,                  0.995,                0.89492,                0.52001,                0.39048,                0.91535,             0.00032001,             0.00032001,             0.00032001
                    103,                0.63343,                0.88801,                0.99906,                0.99361,                      1,                  0.995,                0.88991,                0.52203,                0.39443,                0.92697,             0.00031922,             0.00031922,             0.00031922
                    104,                 0.7409,                0.85385,                 1.0517,                0.98804,                      1,                  0.995,                0.87922,                0.52176,                0.40207,                0.92376,             0.00031842,             0.00031842,             0.00031842
                    105,                0.72541,                0.87795,                 1.0667,                0.99089,                      1,                  0.995,                0.88287,                0.54019,                0.39238,                0.93189,             0.00031763,             0.00031763,             0.00031763
                    106,                0.71213,                0.87819,                 1.0554,                0.99371,                0.99928,                  0.995,                0.89735,                0.51167,                0.37356,                0.91672,             0.00031684,             0.00031684,             0.00031684
                    107,                0.72695,                0.88009,                 1.0653,                0.99463,                      1,                  0.995,                0.88394,                0.50327,                0.37835,                  0.924,             0.00031605,             0.00031605,             0.00031605
                    108,                0.65006,                0.83007,                0.99392,                0.99523,                      1,                  0.995,                0.88831,                0.49912,                0.38757,                0.92944,             0.00031526,             0.00031526,             0.00031526
                    109,                   0.66,                0.77973,                 1.0182,                  0.993,                      1,                  0.995,                 0.8946,                0.48094,                0.38767,                0.91376,             0.00031446,             0.00031446,             0.00031446
                    110,                0.63303,                0.85754,                 1.0061,                0.99429,                      1,                  0.995,                0.89192,                0.47779,                0.36698,                0.90999,             0.00031367,             0.00031367,             0.00031367
                    111,                0.67845,                0.80418,                  1.037,                0.99561,                      1,                  0.995,                0.90712,                0.45663,                0.35544,                0.89836,             0.00031288,             0.00031288,             0.00031288
                    112,                0.65365,                0.79799,                 0.9885,                0.99608,                      1,                  0.995,                0.90346,                0.46091,                0.35234,                0.90447,             0.00031209,             0.00031209,             0.00031209
                    113,                0.69579,                0.85142,                   1.07,                0.99639,                      1,                  0.995,                0.90555,                0.45508,                0.35048,                0.89648,              0.0003113,              0.0003113,              0.0003113
                    114,                0.70363,                0.84214,                 1.0354,                0.99232,                  0.999,                  0.995,                0.89997,                0.47756,                0.35169,                0.90333,              0.0003105,              0.0003105,              0.0003105
                    115,                0.71939,                0.86314,                 1.0568,                0.99545,                0.99002,                  0.995,                0.89719,                0.50039,                0.35323,                0.91281,             0.00030971,             0.00030971,             0.00030971
                    116,                0.69352,                 0.8327,                 1.0541,                0.99332,                      1,                  0.995,                0.89021,                0.51853,                0.36345,                0.92214,             0.00030892,             0.00030892,             0.00030892
                    117,                0.66221,                0.77162,                 1.0296,                0.99491,                      1,                  0.995,                0.89103,                0.48164,                0.36095,                0.91084,             0.00030813,             0.00030813,             0.00030813
                    118,                0.65219,                0.75226,                 1.0281,                0.99658,                      1,                  0.995,                0.89522,                0.50023,                0.35722,                0.91355,             0.00030734,             0.00030734,             0.00030734
                    119,                0.65721,                 0.7506,                 1.0248,                0.98779,                      1,                  0.995,                0.90289,                0.48544,                  0.355,                 0.9129,             0.00030654,             0.00030654,             0.00030654
                    120,                0.64418,                 0.6973,                 1.0466,                0.98451,                      1,                  0.995,                0.90835,                0.46775,                 0.3531,                0.91056,             0.00030575,             0.00030575,             0.00030575
                    121,                 0.6913,                0.79975,                 1.0377,                0.97775,                      1,                  0.995,                0.88523,                 0.5201,                0.37161,                0.92673,             0.00030496,             0.00030496,             0.00030496
                    122,                0.67013,                0.77576,                  1.042,                0.97374,                      1,                  0.995,                0.90015,                0.47979,                0.38532,                0.90432,             0.00030417,             0.00030417,             0.00030417
                    123,                0.62282,                0.76681,                 1.0052,                0.97862,                      1,                  0.995,                 0.8922,                0.49712,                0.37065,                0.91054,             0.00030338,             0.00030338,             0.00030338
                    124,                0.58603,                0.70098,                 1.0065,                0.99207,                      1,                  0.995,                0.89853,                0.47962,                0.34582,                0.90122,             0.00030258,             0.00030258,             0.00030258
