                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.26445,                0.29206,                 0.8483,                0.99671,                      1,                  0.995,                0.99246,                0.14201,                0.13164,                0.76219,                3.6e-05,                3.6e-05,                3.6e-05
                      1,                0.35891,                0.30867,                0.89633,                0.99705,                      1,                  0.995,                0.98971,                 0.1895,                0.14438,                0.76957,              7.585e-05,              7.585e-05,              7.585e-05
                      2,                 0.3442,                0.31572,                0.89428,                0.99705,                      1,                  0.995,                 0.9872,                0.18838,                0.15305,                0.77058,             0.00011554,             0.00011554,             0.00011554
                      3,                0.34676,                0.32356,                0.86237,                0.99614,                      1,                  0.995,                0.98769,                0.19581,                0.15689,                0.77382,             0.00015507,             0.00015507,             0.00015507
                      4,                0.41191,                0.36992,                0.91122,                0.99665,                      1,                  0.995,                0.98518,                0.21779,                0.16791,                0.78244,             0.00019445,             0.00019445,             0.00019445
                      5,                0.39297,                0.32518,                0.91091,                 0.9959,                      1,                  0.995,                0.98621,                0.22339,                0.17598,                0.78302,             0.00023366,             0.00023366,             0.00023366
                      6,                0.41551,                0.38822,                0.90572,                0.99459,                      1,                  0.995,                0.99053,                0.22379,                0.18833,                0.78374,             0.00027272,             0.00027272,             0.00027272
                      7,                0.40709,                0.38349,                0.88686,                0.99516,                      1,                  0.995,                0.97209,                0.27089,                0.20675,                0.80451,             0.00031162,             0.00031162,             0.00031162
                      8,                 0.4388,                0.37761,                0.91104,                0.98778,                      1,                  0.995,                0.95991,                0.30667,                0.21954,                0.82641,             0.00035036,             0.00035036,             0.00035036
                      9,                0.44585,                0.39597,                0.91103,                0.98172,                0.99968,                  0.995,                0.96411,                0.30606,                0.23955,                0.82438,             0.00038894,             0.00038894,             0.00038894
                     10,                0.45016,                0.41882,                0.88404,                0.98787,                      1,                  0.995,                0.94872,                0.32102,                0.23659,                0.82483,             0.00039208,             0.00039208,             0.00039208
                     11,                0.47535,                0.40743,                0.92292,                0.99583,                      1,                  0.995,                0.94947,                0.33921,                0.22077,                0.83514,             0.00039208,             0.00039208,             0.00039208
                     12,                0.49504,                0.44716,                0.94169,                0.99674,                      1,                  0.995,                 0.9458,                0.36196,                0.22885,                0.84405,             0.00039129,             0.00039129,             0.00039129
                     13,                0.54348,                0.51562,                0.98268,                0.99477,                      1,                  0.995,                0.95064,                0.34446,                0.22653,                 0.8278,              0.0003905,              0.0003905,              0.0003905
                     14,                0.53694,                0.47909,                0.95624,                0.99252,                      1,                  0.995,                0.95268,                0.34933,                0.24409,                0.83111,              0.0003897,              0.0003897,              0.0003897
                     15,                0.50787,                0.40533,                0.94275,                0.99385,                      1,                  0.995,                0.96241,                0.31091,                0.25708,                0.82486,             0.00038891,             0.00038891,             0.00038891
                     16,                0.52533,                0.45129,                 0.9375,                0.99503,                      1,                  0.995,                  0.949,                0.32519,                0.24052,                0.82745,             0.00038812,             0.00038812,             0.00038812
                     17,                0.58207,                0.47867,                0.98129,                0.99565,                      1,                  0.995,                0.93476,                0.35844,                0.24381,                 0.8393,             0.00038733,             0.00038733,             0.00038733
                     18,                0.48557,                0.43763,                0.96212,                0.99433,                      1,                  0.995,                0.91526,                0.43664,                0.26055,                0.86587,             0.00038654,             0.00038654,             0.00038654
                     19,                0.56173,                0.46004,                0.96646,                0.99414,                      1,                  0.995,                0.91511,                0.43262,                0.27468,                0.86145,             0.00038574,             0.00038574,             0.00038574
                     20,                0.62213,                0.53726,                0.99977,                0.99506,                      1,                  0.995,                0.93002,                0.36388,                0.24413,                0.83332,             0.00038495,             0.00038495,             0.00038495
                     21,                0.51964,                0.43927,                0.94787,                0.99569,                      1,                  0.995,                0.95299,                 0.3286,                 0.2305,                0.82081,             0.00038416,             0.00038416,             0.00038416
                     22,                0.65169,                0.59632,                 1.0793,                0.99391,                      1,                  0.995,                0.95453,                0.31577,                0.22339,                0.81391,             0.00038337,             0.00038337,             0.00038337
                     23,                0.53863,                0.40159,                0.94599,                0.99135,                      1,                  0.995,                0.94826,                0.33521,                0.22364,                0.81684,             0.00038258,             0.00038258,             0.00038258
                     24,                0.52072,                0.42505,                0.93916,                 0.9911,                      1,                  0.995,                0.94102,                0.36817,                0.23126,                0.83569,             0.00038178,             0.00038178,             0.00038178
                     25,                 0.5063,                0.42331,                0.95058,                0.99273,                      1,                  0.995,                0.96193,                0.31118,                0.22739,                   0.81,             0.00038099,             0.00038099,             0.00038099
                     26,                0.42855,                0.35893,                0.87556,                0.99135,                      1,                  0.995,                0.95168,                0.31698,                0.23505,                0.81499,              0.0003802,              0.0003802,              0.0003802
                     27,                0.61073,                0.52191,                 1.0155,                0.98078,                      1,                  0.995,                0.95787,                 0.3384,                0.24588,                0.82729,             0.00037941,             0.00037941,             0.00037941
                     28,                0.50324,                0.39225,                0.94263,                 0.9852,                      1,                  0.995,                0.94255,                0.36407,                0.25246,                0.83605,             0.00037862,             0.00037862,             0.00037862
                     29,                0.52457,                0.42789,                0.97295,                0.99099,                0.99854,                  0.995,                0.92555,                0.42306,                 0.2726,                0.85534,             0.00037782,             0.00037782,             0.00037782
                     30,                0.51733,                0.42066,                0.93518,                0.99087,                 0.9905,                  0.995,                0.94083,                0.36758,                0.26722,                 0.8401,             0.00037703,             0.00037703,             0.00037703
                     31,                0.52592,                0.45924,                0.94277,                 0.9825,                      1,                  0.995,                0.93993,                0.37344,                0.27608,                0.85414,             0.00037624,             0.00037624,             0.00037624
                     32,                0.55395,                0.47078,                0.96389,                0.97968,                0.98633,                  0.995,                0.92561,                0.38358,                0.32999,                0.85932,             0.00037545,             0.00037545,             0.00037545
                     33,                0.55284,                0.41958,                0.99785,                0.96051,                      1,                0.99341,                0.93803,                0.37314,                0.37269,                0.83846,             0.00037466,             0.00037466,             0.00037466
                     34,                0.47065,                0.38554,                0.90623,                0.95306,                0.97403,                0.99455,                0.93916,                 0.3479,                0.39858,                 0.8383,             0.00037386,             0.00037386,             0.00037386
                     35,                0.51076,                0.43847,                 0.9715,                 0.9874,                0.97192,                  0.995,                0.95279,                0.32846,                0.29156,                0.83147,             0.00037307,             0.00037307,             0.00037307
